Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
Chronicle of the Years of Fire,Streaming link,Streaming link,Algeria,1 975,Mohammed Lakhdar-Hamina,no,2h 57m,Drama,IMDB,5.1,The beginings of the Algerian Revolution as seen through the eyes of a peasant.,Arabic | French,7,1975-11-26,,,Chronicle of the Years of Fire,Chronique des années de braise
Samsara,Streaming link,,America,2 011,Ron Fricke,no dialog,1h 42m,Documentary,IMDB,8.1,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",No Language,378,2011-09-16,,,Samsara,Samsara
Before Sunset,Streaming link,,America,2 004,Richard Linklater,yes,1h 20m,Drama | Romance,IMDB,7.8,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",English | French,2109,2004-02-10,What if you had a second chance with the one that got away?,Before... Collection,Before Sunset,Before Sunset
Fahrenheit.9.11,Streaming link,,America,2 004,Michael Moore,yes,,,,,,,,,,,,
Coffee and Cigarettes,Streaming link,,America,2 003,Jim Jarmusch,yes,1h 36m,Comedy | Drama,IMDB,7.1,Coffee And Cigarettes is a collection of eleven films from cult director Jim Jarmusch. Each film hosts star studded cast of extremely unique individuals who all share the common activities of conversing while drinking coffee and smoking cigarettes.,English,566,2003-09-05,,,Coffee and Cigarettes,Coffee and Cigarettes
Elephant,Streaming link,,America,2 003,Gus Van Sant,yes,,,,,,,,,,,,
In the mirror of Maya Deren,Streaming link,,America,2 003,Maya Deren,yes,,,,,,,,,,,,
Gosford Park,Streaming link,,America,2 001,Robert Altman,yes,2h 11m,Drama | Mystery | Thriller,IMDB,6.9,"In 1930’s England, a group of pretentious rich and famous gather together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",English,663,2001-11-07,Tea at four. Dinner at eight. Murder at midnight.,,Gosford Park,Gosford Park
Mulholland Drive,Streaming link,,America,2 001,David Lynch,yes,2h 27m,Drama | Mystery | Thriller,IMDB,7.9,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",English | Spanish,4003,2001-09-08,An actress longing to be a star. A woman searching for herself. Both worlds will collide… on Mulholland Drive.,,Mulholland Drive,Mulholland Drive
Waking Life,Streaming link,,America,2 001,Richard Linklater,yes,1h 39m,Animation | Drama,IMDB,7.6,"Waking Life is about a young man in a persistent lucid dream-like state. The film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",English,598,2001-10-19,Dreams. What are they? An escape from reality or reality itself?,,Waking Life,Waking Life
Magnolia,Streaming link,,America,1 999,Paul Thomas Anderson,yes,1h 27m,Comedy | Romance | TV Movie,IMDB,6.4,Longtime friends and local radio hosts Maggie and Jack fake it as a couple for their families and listeners in hopes of getting their show syndicated.,English,78,2020-11-05,"This New Year's Eve, the countdown to love is on.",,Midnight at the Magnolia,Midnight at the Magnolia
Sweet and Lowdown,Streaming link,,America,1 999,Woody Allen,yes,1h 35m,Comedy | Drama | Music,IMDB,6.9,"A comedic biopic focused on the life of fictional jazz guitarist Emmett Ray. Ray was an irresponsible, free-spending, arrogant, obnoxious, alcohol-abusing, miserable human being, who was also arguably the best guitarist in the world.",English,299,1999-12-03,,,Sweet and Lowdown,Sweet and Lowdown
Lost Highway,Streaming link,,America,1 997,David Lynch,yes,2h 14m,Drama | Mystery | Thriller,IMDB,7.6,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",English,1575,1997-01-15,,,Lost Highway,Lost Highway
Before Sunrise,Streaming link,,America,1 995,Richard Linklater,yes,1h 41m,Drama | Romance,IMDB,7.9,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",English | French | German,2537,1995-01-27,Can the greatest romance of your life last only one night?,Before... Collection,Before Sunrise,Before Sunrise
Pulp Fiction,Streaming link,,America,1 994,Quentin Tarantino,yes,2h 34m,Crime | Thriller,IMDB,8.5,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",English | French | Spanish,20085,1994-09-10,Just because you are a character doesn't mean you have character.,,Pulp Fiction,Pulp Fiction
Short Cuts,Streaming link,,America,1 993,Robert Altman,yes,3h 7m,Comedy | Drama,IMDB,7.3,"Many loosely connected characters cross paths in this film, based on the stories of Raymond Carver. Waitress Doreen Piggot accidentally runs into a boy with her car. Soon after walking away, the child lapses into a coma. While at the hospital, the boy's grandfather tells his son, Howard, about his past affairs. Meanwhile, a baker starts harassing the family when they fail to pick up the boy's birthday cake.",English,331,1993-09-05,Short Cuts raises the roof on America.,,Short Cuts,Short Cuts
Baraka,Streaming link,,America,1 992,Ron Fricke,no dialog,1h 38m,Documentary,IMDB,8.2,A paralysingly beautiful documentary with a global vision—an odyssey through landscape and time—that attempts to capture the essence of life.,English,357,1992-09-15,A world beyond words.,,Baraka,Baraka
Barton Fink,Streaming link,,America,1 991,Coen Brothers,yes,1h 56m,Comedy | Drama,IMDB,7.5,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,English,1059,1991-08-01,There’s only one thing stranger than what’s going on inside his head. What’s going on outside.,,Barton Fink,Barton Fink
Night on Earth,Streaming link,,America,1 991,Jim Jarmusch,yes,2h 9m,Comedy | Drama,IMDB,7.5,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,English | Finnish | French | German | Italian,482,1991-12-12,Five Taxis. Five Cities. One Night.,,Night on Earth,Night on Earth
Slacker,Streaming link,,America,1 991,Richard Linklater,yes,1h 37m,Comedy | Drama,IMDB,6.8,"Austin, Texas, is an Eden for the young and unambitious, from the enthusiastically eccentric to the dangerously apathetic. Here, the nobly lazy can eschew responsibility in favor of nursing their esoteric obsessions. The locals include a backseat philosopher who passionately expounds on his dream theories to a seemingly comatose cabbie, a young woman who tries to hawk Madonna's Pap test to anyone who will listen and a kindly old anarchist looking for recruits.",English,180,1991-07-05,,,Slacker,Slacker
Wild at Heart,Streaming link,,America,1 990,David Lynch,yes,2h 4m,Comedy | Crime | Thriller,IMDB,7.1,"After serving prison time for a self-defense killing, Sailor Ripley reunites with girlfriend Lula Fortune. Lula's mother, Marietta, desperate to keep them apart, hires a hitman to kill Sailor. But he finds a whole new set of troubles when he and Bobby Peru, an old buddy who's also out to get Sailor, try to rob a store. When Sailor lands in jail yet again, the young lovers appear further than ever from the shared life they covet.",English,949,1990-08-17,A wild crazy love story.,,Wild at Heart,Wild at Heart
Crimes and Misdemeanors,Streaming link,,America,1 989,Woody Allen,yes,1h 44m,Comedy | Drama,IMDB,7.6,"An ophthalmologist's mistress threatens to reveal their affair to his wife, while a married documentary filmmaker is infatuated by another woman.",English,561,1989-10-13,A film about humanity.,,Crimes and Misdemeanors,Crimes and Misdemeanors
Mystery Train,Streaming link,,America,1 989,Jim Jarmusch,yes,1h 46m,Comedy,IMDB,7.3,"In Memphis, Tennessee, over the course of a single night, the Arcade Hotel, run by an eccentric night clerk and a clueless bellboy, is visited by a young Japanese couple traveling in search of the roots of rock; an Italian woman in mourning who stumbles upon a fleeing charlatan girl; and a comical trio of accidental thieves looking for a place to hide…",English | Italian | Japanese,222,1989-09-06,,,Mystery Train,Mystery Train
"Sex, Lies, And Videotape",Streaming link,,America,1 989,Steven Soderbergh,yes,,,,,,,,,,,,
Rain Man,Streaming link,,America,1 988,Barry Levinson,yes,2h 14m,Drama,IMDB,7.8,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,English | Italian,4197,1988-12-11,A journey through understanding and fellowship.,,Rain Man,Rain Man
The Thin Red Line,Streaming link,,America,1 988,Terrence Malick,yes,2h 51m,Drama | History | War,IMDB,7.4,"The story of a group of men, an Army Rifle company called C-for-Charlie, who change, suffer, and ultimately make essential discoveries about themselves during the fierce World War II battle of Guadalcanal. It follows their journey, from the surprise of an unopposed landing, through the bloody and exhausting battles that follow, to the ultimate departure of those who survived.",English | Japanese,1942,1998-03-05,Every man fights his own war.,,The Thin Red Line,The Thin Red Line
Blue Velvet,Streaming link,,America,1 986,David Lynch,yes,2h 0m,Crime | Mystery | Thriller,IMDB,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",English,2042,1986-09-19,It’s a strange world.,,Blue Velvet,Blue Velvet
Down By Law,Streaming link,,America,1 986,Jim Jarmusch,yes,,,,,,,,,,,,
Chronos,Streaming link,,America,1 985,Ron Fricke,no dialog,0h 50m,Documentary,IMDB,7.7,Carefully picked scenes of nature and civilization are viewed at high speed using time-lapse cinematography in an effort to demonstrate the history of various regions.,English | No Language,49,1985-05-10,A visual and musical journey through time,,Chronos,Chronos
The Purple Rose of Cairo,Streaming link,,America,1 985,Woody Allen,yes,1h 22m,Comedy | Fantasy | Romance,IMDB,7.4,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mundane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again.",English,644,1985-03-01,,,The Purple Rose of Cairo,The Purple Rose of Cairo
Stop Making Sense  ,Streaming link,,America,1 984,Jonathan Demme,no dialog,,,,,,,,,,,,
Choose Me,Streaming link,,America,1 984,Alan Rudolph,yes,1h 46m,Comedy | Drama | Romance,IMDB,6.5,"Several lost-soul night-owls, including a nightclub owner, a talkback radio relationships counseller, and an itinerant stranger have encounters that expose their contradictions and anxieties about love and acceptance.",English | French,12,1984-08-29,"In the middle of the night, when there's no one else...",,Choose Me,Choose Me
Love Streams,Streaming link,,America,1 984,John Cassavetes,yes,2h 21m,Drama,IMDB,7.2,"Two closely-bound, emotionally wounded siblings reunite after years apart.",English | French | Spanish,64,1984-02-20,,,Love Streams,Love Streams
Stranger Than Paradise,Streaming link,,America,1 984,Jim Jarmusch,yes,1h 29m,Comedy | Drama,IMDB,7.2,"Rootless Hungarian émigré Willie, his pal Eddie, and visiting sixteen-year-old cousin Eva always manage to make the least of any situation, whether aimlessly traversing the drab interiors and environs of New York City, Cleveland, or an anonymous Florida suburb.",English | Hungarian,274,1984-10-01,,,Stranger Than Paradise,Stranger Than Paradise
Zelig,Streaming link,,America,1 983,Woody Allen,yes,1h 19m,Comedy,IMDB,7.5,"Fictional documentary about the life of human chameleon Leonard Zelig, a man who becomes a celebrity in the 1920s due to his ability to look and act like whoever is around him. Clever editing places Zelig in real newsreel footage of Woodrow Wilson, Babe Ruth, and others.",English | German,558,1983-07-15,You wanted more when it was all over!,,Zelig,Zelig
White Dog,Streaming link,,America,1 982,Samuel Fuller,yes,1h 30m,Drama | Thriller,IMDB,6.8,A trainer attempts to retrain a vicious dog that’s been raised to kill black people.,English,143,1982-07-07,When man’s best friend becomes his fiercest enemy…,,White Dog,White Dog
Gloria,Streaming link,,America,1 980,John Cassavetes,yes,2h 3m,Crime | Drama | Thriller,IMDB,6.8,"When a young boy's family is killed by the mob, their tough neighbor Gloria becomes his reluctant guardian. In possession of a book that the gangsters want, the pair go on the run in New York.",English | Spanish,111,1980-10-01,And she's out to beat the mob at their own game.,,Gloria,Gloria
All That Jazz,Streaming link,,America,1 979,Bob Fosse,yes,2h 3m,Drama,IMDB,7.4,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",English,257,1979-12-16,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,,All That Jazz,All That Jazz
Apocalypse Now,Streaming link,,America,1 979,Francis Ford Coppola,yes,2h 27m,Drama | War,IMDB,8.3,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",English | French | Khmer | Vietnamese,5386,1979-08-15,This is the end...,,Apocalypse Now,Apocalypse Now
Manhattan,Streaming link,,America,1 979,Woody Allen,yes,1h 36m,Comedy | Drama | Romance,IMDB,7.9,Manhattan explores how the life of a middle-aged television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,English,1617,1979-04-25,,,Manhattan,Manhattan
Days of Heaven,Streaming link,,America,1 978,Terrence Malick,yes,1h 34m,Drama | Romance,IMDB,7.6,"In 1910, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer. A love triangle, a swarm of locusts, a hellish fire—Malick captures it all with dreamlike authenticity, creating at once a timeless American idyll and a gritty evocation of turn-of-the-century labor.",English | Italian,589,1978-09-13,Your eyes... Your ears... Your senses... will be overwhelmed.,,Days of Heaven,Days of Heaven
3 Women,Streaming link,,America,1 977,Robert Altman,yes,2h 4m,Drama | Mystery,IMDB,7.3,"An awkward young teen working at a spa becomes overly attached to her fellow worker, a lonely outcast. They hang out at a bar owned by a strange pregnant artist and her has-been cowboy husband. Amid emotional crises, the three woman steal and trade one another's personalities.",English,153,1977-04-10,"1 woman became 2, 2 women became 3, 3 women became 1",,3 Women,3 Women
Eraserhead,Streaming link,,America,1 977,David Lynch,yes,1h 29m,Fantasy | Horror,IMDB,7.5,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",English,1503,1978-02-03,Where your nightmares end...,,Eraserhead,Eraserhead
Opening Night,Streaming link,,America,1 977,John Cassavetes,yes,1h 30m,Comedy | Music,IMDB,6.0,A failed Broadway singer who now works as a production manager must save opening night on his new production by wrangling his eccentric cast and crew.,English,58,2016-06-03,,,Opening Night,Opening Night
Carrie,Streaming link,,America,1 976,Brian De Palma,yes,2h 12m,Drama | Horror | TV Movie,IMDB,6.1,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",English,271,2002-11-04,,,Carrie,Carrie
Taxi Driver,Streaming link,,America,1 976,Martin Scorsese,yes,1h 54m,Crime | Drama,IMDB,8.2,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action, attempting to save a preadolescent prostitute in the process.",English | Spanish,7576,1976-02-09,"On every street in every city, there's a nobody who dreams of being a somebody.",,Taxi Driver,Taxi Driver
The Killing Of A Chinese Bookie,Streaming link,,America,1 976,John Cassavetes,yes,,,,,,,,,,,,
Nashville,Streaming link,,America,1 975,Robert Altman,yes,2h 40m,Comedy | Drama | Music,IMDB,7.3,"The intersecting stories of twenty-four characters—from country star to wannabe to reporter to waitress— connect to the music business in Nashville, Tennessee.",English,215,1975-06-11,Wild. Wonderful. Sinful. Laughing. Explosive.,,Nashville,Nashville
A Woman Under the Influence,Streaming link,,America,1 974,John Cassavetes,yes,2h 35m,Drama,IMDB,7.9,"Mabel Longhetti, desperate and lonely, is married to a Los Angeles municipal construction worker, Nick. Increasingly unstable, especially in the company of others, she craves happiness, but her extremely volatile behavior convinces Nick that she poses a danger to their family and decides to commit her to an institution for six months. Alone with a trio of kids to raise on his own, he awaits her return, which holds more than a few surprises.",English | Italian,245,1974-09-19,,,A Woman Under the Influence,A Woman Under the Influence
The Conversation,Streaming link,,America,1 974,Francis Ford Coppola,yes,1h 53m,Crime | Drama | Mystery,IMDB,7.6,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger.",English,958,1974-04-07,Harry Caul is an invader of privacy. The best in the business.,,The Conversation,The Conversation
Scarecrow,Streaming link,,America,1 973,Jerry Schatzberg,yes,1h 52m,Drama,IMDB,7.0,"Two drifters bum around, visit earthy women and discuss opening a car wash in Pittsburgh.",English,164,1973-04-11,The road leads itself to somewhere.,,Scarecrow,Scarecrow
The Long Goodbye,Streaming link,,America,1 973,Robert Altman,yes,1h 52m,Crime | Drama | Mystery | Thriller,IMDB,7.5,Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.,English | Spanish,324,1973-03-07,Nothing says goodbye like a bullet…,,The Long Goodbye,The Long Goodbye
McCabe & Mrs. Miller,Streaming link,,America,1 971,Robert Altman,yes,2h 0m,Drama | Western,IMDB,7.2,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",English,215,1971-06-24,Name your poison,,McCabe & Mrs. Miller,McCabe & Mrs. Miller
Minnie and Moskowitz,Streaming link,,America,1 971,John Cassavetes,yes,1h 55m,Comedy | Drama | Romance,IMDB,6.9,"Depressed and jaded after being dumped by her married boyfriend, aging beauty Minnie Moore wonders if she'll ever find love.  After shaggy-haired parking lot attendant Seymour Moskowitz comes to her defense from an angry and rebuffed blind date, he falls hopelessly in love with her despite their myriad differences.  Minnie reluctantly agrees to a date with Moskowitz, and, slowly but surely, an unlikely romance blossoms between the two.",English,44,1971-12-22,,,Minnie and Moskowitz,Minnie and Moskowitz
The Hired Hand,Streaming link,,America,1 971,Peter Fonda,yes,1h 30m,Western,IMDB,6.5,"Harry Collings returns home to his farm after drifting with his friend, Arch. His wife, who had given up on him, reluctantly allows him to stay, and soon believes that all will be well again. But then Harry has to make a difficult decision regarding his loyalties and priorities.",English,37,1971-08-11,Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,,The Hired Hand,The Hired Hand
Husbands,Streaming link,,America,1 970,John Cassavetes,yes,2h 11m,Comedy | Drama,IMDB,6.5,"A common friend's sudden death brings three men, married with children, to reconsider their lives and ultimately leave together. But mindless enthusiasm for regained freedom will be short-lived.",Cantonese | English,65,1970-12-01,"A comedy about life, death and freedom",,Husbands,Husbands
MASH,Streaming link,,America,1 970,Robert Altman,yes,,,,,,,,,,,,
Take the Money and Run,Streaming link,,America,1 969,Woody Allen,yes,1h 25m,Comedy | Crime,IMDB,7.1,"Virgil Starkwell is intent on becoming a notorious bank robber. Unfortunately for Virgil and his not-so-budding career, he is completely incompetent.",English | Yiddish,490,1969-08-18,Crime lives!,,Take the Money and Run,Take the Money and Run
Faces,Streaming link,,America,1 968,John Cassavetes,yes,2h 10m,Drama,IMDB,7.3,"Middle-aged suburban husband Richard abruptly tells his wife, Maria, that he wants a divorce. As Richard takes up with a younger woman, Maria enjoys a night on the town with her friends and meets a younger man. As the couple and those around them confront a seemingly futile search for what they've lost -- love, excitement, passion -- this classic American independent film explores themes of aging and alienation.",English,107,1968-11-24,,,Faces,Faces
Film  ,Streaming link,,America,1 965,Alan Schneider,no dialog,,,,,,,,,,,,
Shock Corridor,Streaming link,,America,1 963,Samuel Fuller,yes,1h 41m,Drama | Mystery,IMDB,6.9,"Determined to pull in the Pulitzer Prize, reporter Johnny Barrett will go to any length necessary to win the coveted award. When he learns of an unsolved murder committed at a mental institution, Barrett devises a scheme to solve it and earn himself recognition. With the assistance of a psychiatrist and his girlfriend, Barrett convinces the doctors at the institution to commit him. Once inside, he begins his investigation -- and gradually loses his mind.",English | Italian,150,1963-09-11,Opens the Door to Sights You've Never Seen Before!,,Shock Corridor,Shock Corridor
The Man Who Shot Liberty Valance,Streaming link,,America,1 962,John Ford,yes,2h 3m,Western,IMDB,7.7,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",English,652,1962-04-22,Two great stars together for the first time!,,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance
The Trial,Streaming link,,America,1 962,Orson Welles,yes,2h 10m,Drama | History | Thriller,IMDB,7.8,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,English,731,2020-09-25,"In 1968, democracy refused to back down.",,The Trial of the Chicago 7,The Trial of the Chicago 7
Shadows,Streaming link,,America,1 959,John Cassavetes,yes,1h 53m,Comedy | Fantasy,IMDB,6.0,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,English,5381,2012-05-08,Every Family Has Its Demons,,Dark Shadows,Dark Shadows
12 Angry Men,Streaming link,,America,1 957,Sidney Lumet,yes,1h 37m,Drama,IMDB,8.5,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",English,5165,1957-04-10,Life is in their hands. Death is on their minds.,,12 Angry Men,12 Angry Men
Love in the Afternoon,Streaming link,,America,1 957,Billy Wilder,yes,2h 10m,Comedy | Drama | Romance,IMDB,7.1,Lovestruck conservatory student Ariane pretends to be just as much a cosmopolitan lover as the worldly mature Frank Flannagan hoping that l’amour will take hold.,English | French,163,1957-06-30,Love is a game any number can play... especially in the afternoon...,,Love in the Afternoon,Love in the Afternoon
Friendly Persuasion,Streaming link,,America,1 956,William Wyler,yes,2h 17m,Drama | War | Western,IMDB,6.4,"The story of a family of Quakers in Indiana in 1862. Their religious sect is strongly opposed to violence and war. It's not easy for them to meet the rules of their religion in everyday life but when Southern troops pass the area they are in real trouble. Should they fight, despite their peaceful attitude?",English,63,1956-11-25,Here's A Superb Motion Picture Full Of Fun...Laughter and Happiness,,Friendly Persuasion,Friendly Persuasion
East of Eden,Streaming link,,America,1 955,Elia Kazan,yes,1h 55m,Drama | Romance,IMDB,7.7,"In the Salinas Valley in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother for the love of their father. Cal is frustrated at every turn, from his reaction to the war, how to get ahead in business and in life, and how to relate to his estranged mother.",English,440,1955-03-09,Sometimes you can't tell who's good and who's bad...,,East of Eden,East of Eden
Marty,Streaming link,,America,1 955,Delbert Mann,yes,1h 30m,Drama | Romance,IMDB,7.5,"Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.",English,201,1955-04-11,It's the love story of an unsung hero!,,Marty,Marty
Johnny Guitar,Streaming link,,America,1 954,Nicholas Ray,yes,1h 50m,Drama | Western,IMDB,7.5,"On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing.",English,222,1954-05-26,Gun-Queen of the Arizona Frontier! And her kind of men!,,Johnny Guitar,Johnny Guitar
On the Waterfront,Streaming link,,America,1 954,Elia Kazan,yes,1h 48m,Crime | Drama,IMDB,8.1,"Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny's thugs, and later meets the dead man's sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.",English,942,1954-06-22,The man lived by the jungle law of the docks!,,On the Waterfront,On the Waterfront
Pickup on South Street,Streaming link,,America,1 953,Samuel Fuller,yes,1h 20m,Crime | Thriller,IMDB,7.5,"In New York City, an insolent pickpocket, Skip McCoy, inadvertently sets off a chain of events when he targets ex-prostitute Candy and steals her wallet. Unaware that she has been making deliveries of highly classified information to the communists, Candy, who has been trailed by FBI agents for months in hopes of nabbing the spy ringleader, is sent by her ex-boyfriend, Joey, to find Skip and retrieve the valuable microfilm he now holds.",English,155,1953-05-27,How the law took a chance on a B-girl … and won!,,Pickup on South Street,Pickup on South Street
Lusty Men ,Streaming link,,America,1 952,Nicholas Ray,yes,,,,,,,,,,,,
On dangerous ground,Streaming link,,America,1 951,Nicholas Ray,yes,,,,,,,,,,,,
Othello,Streaming link,,America,1 951,Orson Welles,yes,1h 33m,Drama | Romance,IMDB,7.3,"When a secret marriage is planned between Othello, a Moorish general, and Desdemona, the daughter of Senator Brabantio, her old suitor Roderigo takes it hard. He allies himself with Iago, who has his own grudge against Othello, and the two conspire to bring Othello down. When their first plan, to have him accused of witchcraft, fails, they plant evidence intended to make him believe Desdemona is unfaithful.",English,115,1951-11-27,Orson Welles' magnificent screening of Shakespeare's immortal tragedy,,Othello,Othello
The African Queen,Streaming link,,America,1 951,John Huston,yes,1h 45m,Adventure | Romance,IMDB,7.4,"At the start of the First World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.",English | German | Swahili,549,1952-01-07,The greatest adventure a man ever lived… with a woman!,,The African Queen,The African Queen
The Steel Helmet,Streaming link,,America,1 951,Samuel Fuller,yes,1h 25m,Action | Drama | War,IMDB,7.0,A ragtag group of American stragglers battles against superior Communist troops in an abandoned Buddhist temple during the Korean War.,English | Korean,50,1951-01-24,It's the REAL Korean Story!,,The Steel Helmet,The Steel Helmet
In a Lonely Place,Streaming link,,America,1 950,Nicholas Ray,yes,1h 34m,Mystery | Thriller,IMDB,7.6,An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.,English,301,1950-05-17,The Bogart suspense picture with the surprise finish!,,In a Lonely Place,In a Lonely Place
Sunset Boulevard,Streaming link,,America,1 950,Billy Wilder,yes,,,,,,,,,,,,
The Asphalt Jungle,Streaming link,,America,1 950,John Huston,yes,1h 52m,Crime | Drama,IMDB,7.5,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",English,260,1950-06-01,The City Under the City,,The Asphalt Jungle,The Asphalt Jungle
The Baron of Arizona,Streaming link,,America,1 950,Samuel Fuller,yes,1h 37m,Crime | Drama | History | Western,IMDB,7.0,The U.S. government recognizes land grants made when the West was under Spanish rule. This inspires James Reavis to forge a chain of historical evidence that makes a foundling girl the Baroness of Arizona. Reavis marries the girl and presses his claim to the entire Arizona territory.,English,32,1950-03-04,The lustiest adventure a man ever lived!,,The Baron of Arizona,The Baron of Arizona
Key Largo,Streaming link,,America,1 948,John Huston,yes,1h 40m,Action | Crime | Drama | Thriller,IMDB,7.6,"A hurricane swells outside, but it's nothing compared to the storm within the hotel at Key Largo. There, sadistic mobster Johnny Rocco holes up - and holds at gunpoint hotel owner James Temple, his widowed daughter-in-law Nora, and ex-GI Frank McCloud.",English,288,1948-07-16,A storm of fear and fury in the sizzling Florida Keys!,,Key Largo,Key Largo
