Name,Link 1,Link 1.1,Country,Year,Director,Subtitles,Runtime,Genres,Imdb id,Vote avg,Overview,Spoken languages,Vote count,Release date,Tagline,Collection,Title,Original title
Satantango E3,Streaming link,,Hungary,1 994,Béla Tarr,yes,7h 12m,Drama,IMDB,8.4,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Hungarian,137,1994-02-08,,,Satantango,Sátántangó
Satantango E4,Streaming link,,Hungary,1 994,Béla Tarr,yes,7h 12m,Drama,IMDB,8.4,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Hungarian,137,1994-02-08,,,Satantango,Sátántangó
Satantango E5,Streaming link,,Hungary,1 994,Béla Tarr,yes,7h 12m,Drama,IMDB,8.4,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Hungarian,137,1994-02-08,,,Satantango,Sátántangó
Satantango E6,Streaming link,,Hungary,1 994,Béla Tarr,yes,7h 12m,Drama,IMDB,8.4,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Hungarian,137,1994-02-08,,,Satantango,Sátántangó
Satantango E7,Streaming link,,Hungary,1 994,Béla Tarr,yes,7h 12m,Drama,IMDB,8.4,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",Hungarian,137,1994-02-08,,,Satantango,Sátántangó
Damnation,Streaming link,,Hungary,1 988,Béla Tarr,yes,1h 40m,Action | Animation | Horror,IMDB,6.8,"U.S. federal agent Leon S. Kennedy sneaks into the ""East Slavic Republic"" to verify rumors that Bio-Organic Weapons (BOWs) are being used in the country's civil war, which the U.S. and Russia are making preparations to jointly intervene in. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the BOWs.",English | Japanese,459,2012-09-25,The worst evil has been unleashed.,Resident Evil: Biohazard Collection,Resident Evil: Damnation,Biohazard: Damnation
Almanac of Fall,Streaming link,,Hungary,1 984,Béla Tarr,yes,,,,,,,,,,,,
The Prefab People,Streaming link,,Hungary,1 982,Béla Tarr,yes,1h 42m,Drama,IMDB,6.6,"Using verite conventions, a young couple with a baby and a child are worn away by the monotony of their lives.",Hungarian,20,1982-12-09,,,The Prefab People,Panelkapcsolat
Family Nest,Streaming link,,Hungary,1 979,Béla Tarr,yes,1h 48m,Drama,IMDB,6.9,"Családi tüzfészek (aka Family Nest) is an intimate portrayal of a family slowly disintegrating under various pressures in late 1970s communist Hungary. The plot of the film is deceptively simple, with the occasional momentous event--including one that's relatively shocking, but plot in a conventional sense is not the focus here.",Hungarian,21,1979-01-25,,,Family Nest,Családi tűzfészek
Monsoon Wedding,Streaming link,,India,2 001,Mira Nair,yes,1h 54m,Comedy | Drama | Romance,IMDB,6.9,"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality.",English | Hindi,134,2001-08-30,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India.",,Monsoon Wedding,Monsoon Wedding
Salaam Bombay!,Streaming link,,India,1 988,Mira Nair,yes,1h 53m,Crime | Drama,IMDB,7.3,"Before Slumdog Millionaire came Salaam Bombay!, Mira Nair’s Oscar-nominated drama tells the moving story of life on the streets of Bombay as seen through the eyes of Chaipu, a twelve-year-old boy living rough in the city.",English | Hindi,50,1988-08-24,,,Salaam Bombay!,Salaam Bombay!
Charulata,Streaming link,,India,1 964,Satyajit Ray,yes,1h 57m,Drama | Romance,IMDB,7.7,"Charu lives a lonely and idle life in 1870s India. Although her husband Bhupati devotes more time to his newspaper than to their marriage, he sees her loneliness and asks his brother-in-law, Umapada to keep her company. At the same time Bhupati's own brother, Amal, a would-be writer comes home finishing his college education. However, after several months, Charu and Amal's feelings for each other move beyond literary friendship.",Bengali | English,72,1964-04-17,,,Charulata,চারুলতা
The Big City,Streaming link,,India,1 963,Satyajit Ray,yes,1h 10m,Crime | Drama,IMDB,0.0,,,,1928-03-23,,,The Big City,The Big City
Devi,Streaming link,,India,1 960,Satyajit Ray,yes,,Drama,IMDB,5.0,"It's an adaptation and deconstruction of an age old classic, 'DEVDAS', by the great Bengali writer Sharatchandra Chattopadhyay. In this film the gender of the main characters has been reversed and all of them are placed in twenty-first century.",,1,2017-02-10,,,Devi,Devi
The World of Apu,Streaming link,,India,1 959,Satyajit Ray,yes,1h 45m,Drama,IMDB,8.3,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....,Bengali | English,125,1959-05-01,,The Apu Trilogy,The World of Apu,অপুর সংসার
Aparajito,Streaming link,,India,1 956,Satyajit Ray,yes,1h 50m,Drama,IMDB,8.0,"The Unvanquished is the second part of the Apu film trilogy about the boy, Apu who gets a scholarship to study at a College in Calcutta. His mother is alone and torn between wanting him to be successful and not wanting him to leave her alone.",Bengali | English,127,1956-10-11,,The Apu Trilogy,Aparajito,অপরাজিত
Pather Panchali,Streaming link,,India,1 955,Satyajit Ray,yes,2h 5m,Drama,IMDB,8.2,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work. Alone, his wife, Sarbojaya, looks after her rebellious daughter, Durga, and her young son, Apu, as well as Harihar's elderly aunt Indir. The children enjoy the small pleasures of their difficult life, while their parents suffer the daily indignities heaped upon them.",Bengali,197,1955-08-26,,The Apu Trilogy,Pather Panchali,পথের পাঁচালী
The White Meadows,Streaming link,,Iran,2 009,Mohammad Rasoulof,yes,1h 32m,Drama,IMDB,7.7,"Rahmat travels to a host of islands in a vast salt pan in order to collect the inhabitant's tears for an unknown purpose. He is joined on his mysterious journey by a young boy searching for his father. As their travel nears its end, a potent critique of the Iran's political leadership emerges.",Persian,10,2009-09-19,,,The White Meadows,کشتزارهای سپید
Fireworks Wednesday,Streaming link,,Iran,2 006,Asghar Farhadi,yes,1h 42m,Drama,IMDB,7.6,"On the day before their holiday trip to Dubai, a wife who believes her husband is unfaithful enlists the help of Roohi, a young woman sent by an agency to clean the house. She asks Roohi to make an appointment and gather information at the salon of the woman she suspects. Roohi is betrothed, innocent of marital discord. Over the course of the day, she, the couple, their small son, the wife's sister and husband, and the beautician engage in a series of exchanges, confrontations, and prevarications. Are the wife's suspicions unwarranted; is her behavior imperiling her marriage? Acts of kindness may go awry. And the trip to Dubai?",Persian,70,2006-02-08,,,Fireworks Wednesday,چهارشنبه سوری
About Elly,Streaming link,,Iran,2 009,Asghar Farhadi,yes,1h 59m,Drama,IMDB,7.5,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,German | Persian,277,2009-06-06,,,About Elly,درباره الی‎‎
The Song of Sparrows,Streaming link,,Iran,2 008,Majid Majidi,yes,1h 36m,Drama,IMDB,7.5,"When an ostrich-rancher focuses on replacing his daughter's hearing aid, which breaks right before crucial exams, everything changes for a struggling rural family in Iran. Karim motorbikes into a world alien to him - incredibly hectic Tehran, where sudden opportunities for independence, thrill and challenge him. But his honor and honesty, plus traditional authority over his inventive clan, are tested, as he stumbles among vast cultural and economic gaps between his village nestled in the desert, and a throbbing international metropolis.",Persian,42,2008-10-01,Chasing dreams. Finding hope.,,The Song of Sparrows,آواز گنجشک‌ها
Return to Homs,Streaming link,,Syria,2 013,Talal Derki,arabic,1h 27m,Documentary,IMDB,7.1,"Filmed over 3 years in Homs, accompanying 2 outstanding young men from the time they were only dreaming of freedom to the time when they are forced to change course. Basset, the 19yo national football team goalkeeper, who became an outspoken demonstration leader in the city, then an icon revolution singer, till he becomes a fighter... a militia leader. Ossama, his 24yo friend, renowned citizen journalist, cynical pacifist... as his views are forced to change, until he is detained by army secret service. It is the story of a city, of which the world have heard a lot, but never really got closer than news, never really had the chance to experience how a war erupted. a modern times epic of youth in war time.",Arabic,23,2013-11-20,,,Return to Homs,Return to Homs
Le Havre,Streaming link,,Finland,2 011,Aki Kaurismäki,yes,1h 34m,Comedy | Drama,IMDB,7.0,"Marcel Marx, a former bohemian and struggling author, has given up his literary ambitions and relocated to the port city Le Havre. He leads a simple life based around his wife Arletty, his favourite bar and his not too profitable profession as a shoeshiner. As Arletty suddenly becomes seriously ill, Marcel's path crosses with an underage illegal immigrant from Africa, who needs Marcel's help to hide from the police.",French,245,2011-09-08,,,Le Havre,Le Havre
A Cube of Sugar,Streaming link,,Iran,2 011,Seyyed Reza Mir-Karimi,yes,1h 56m,Comedy | Drama | Family,IMDB,7.0,"Throughout the two days preceding her long-awaited wedding, amid the flurry of arriving relatives and the preparation of a seemingly endless array of colorful, culinary delights, young bride-to-be Pasandide finds herself the center of attention. The event also proves an occasion for extended family to reconnect, reminisce and rejoice in the pleasures of familiar company. The family compound of aged Uncle Ezzatolah proves an ideal site for this summer reunion among three generations, with its lush courtyard gardens, labyrinthine parlors and passageways and erratic electrical system (subject to untimely city blackouts).",Persian,11,2011-10-12,,,A Cube of Sugar,یک حبه قند
The Tale of Iya,Streaming link,,Japan,2 013,Tetsuichirô Tsuta,yes,2h 49m,Drama,IMDB,7.0,"It was summer when a stranger from Tokyo arrived at “Iya”, where the riches of nature still abound. This young man, named Kudo, was willing to live his new, self-sufficient life. He was exhausted by city life, and believed this beautiful land would give him some rest. On the contrary, the reality was not as easy as he thought. There was a confliction between a local construction company and a group of nature conservationists. Farmers are trying to save their harvests from harmful animals such as deer and monkeys. People are fighting for their own purposes: to get their job, to save the environment, or to survive.",Japanese,16,2013-10-22,,,The Tale of Iya,
Faust,Streaming link,,Russia,2 011,Alexander Sokurov,yes,2h 20m,Drama | Fantasy,IMDB,7.0,"Faust inhabits an earthy, 19th-century world of primitive autopsies and medical rituals. He becomes obsessed with the beautiful Margarete and desperately turns to a physically grotesque moneylender to conjure their union.",German,103,2011-09-08,,,Faust,Faust
Beautiful City,Streaming link,,Iran,2 004,Asghar Farhadi,yes,1h 25m,Drama,IMDB,4.0,"Friday night in Toronto’s lower west end. Chatter from a dinner party in Harry and Carol’s nouveau riche condo drifts through an open balcony door, as two freebase cokeheads, Pretty and Johnny, have a party on their own in the alley below. As the dinner guests leave, the hostess is nowhere to be found. Until, a wet thud and a sharp scream rise up to the balcony.  Pretty stares in horror at Carol’s body, splayed on the alley floor, as Harry screams for help from above. The sharp burst of police sirens sends the cokeheads running as Peter, a middle aged police officer, sprints from his cruiser to check Carol’s vitals.  Rocket forward three months and these five disparate lives begin to cataclysmically intersect through weaving multi-narrative story arcs that release spurts and geysers of long-suppressed sexuality and aggression.  Beautiful things can happen when you hit rock bottom.",English,1,2007-09-11,,,This Beautiful City,This Beautiful City
